date,time,comp_level_ft,temperature,year,month,wy
2024-11-13,09:45:49,0.006561679790026247,20.6,2024,11,2025
2024-11-13,10:00:49,1.19750656167979,15.2,2024,11,2025
2024-11-13,10:15:49,1.194225721784777,15.3,2024,11,2025
2024-11-13,10:30:49,1.1811023622047243,15.4,2024,11,2025
2024-11-13,10:45:49,1.1843832020997376,15.4,2024,11,2025
2024-11-13,11:00:49,1.1843832020997376,15.4,2024,11,2025
2024-11-13,11:15:49,1.1778215223097113,15.4,2024,11,2025
2024-11-13,11:30:49,1.1745406824146982,15.5,2024,11,2025
2024-11-13,11:45:49,1.1745406824146982,15.5,2024,11,2025
2024-11-13,12:00:49,1.1745406824146982,15.5,2024,11,2025
2024-11-13,12:15:49,1.1778215223097113,15.5,2024,11,2025
2024-11-13,12:30:49,1.171259842519685,15.5,2024,11,2025
2024-11-13,12:45:49,1.171259842519685,15.5,2024,11,2025
2024-11-13,13:00:49,1.171259842519685,15.5,2024,11,2025
2024-11-13,13:15:49,1.1778215223097113,15.6,2024,11,2025
2024-11-13,13:30:49,1.1778215223097113,15.6,2024,11,2025
2024-11-13,13:45:49,1.1876640419947506,15.8,2024,11,2025
2024-11-13,14:00:49,1.1909448818897639,15.9,2024,11,2025
2024-11-13,14:15:49,1.1876640419947506,16,2024,11,2025
2024-11-13,14:30:49,1.1876640419947506,16.1,2024,11,2025
2024-11-13,14:45:49,1.1811023622047243,16.1,2024,11,2025
2024-11-13,15:00:49,1.1778215223097113,16.1,2024,11,2025
2024-11-13,15:15:49,1.1745406824146982,16.2,2024,11,2025
2024-11-13,15:30:49,1.1811023622047243,16.3,2024,11,2025
2024-11-13,15:45:49,1.1745406824146982,16.3,2024,11,2025
2024-11-13,16:00:49,1.1811023622047243,16.4,2024,11,2025
2024-11-13,16:15:49,1.1778215223097113,16.5,2024,11,2025
2024-11-13,16:30:49,1.1745406824146982,16.5,2024,11,2025
2024-11-13,16:45:49,1.1843832020997376,16.6,2024,11,2025
2024-11-13,17:00:49,1.1876640419947506,16.6,2024,11,2025
2024-11-13,17:15:49,1.1843832020997376,16.6,2024,11,2025
2024-11-13,17:30:49,1.1876640419947506,16.6,2024,11,2025
2024-11-13,17:45:49,1.19750656167979,16.6,2024,11,2025
2024-11-13,18:00:49,1.1909448818897639,16.7,2024,11,2025
2024-11-13,18:15:49,1.19750656167979,16.7,2024,11,2025
2024-11-13,18:30:49,1.1843832020997376,16.7,2024,11,2025
2024-11-13,18:45:49,1.194225721784777,16.7,2024,11,2025
2024-11-13,19:00:49,1.1909448818897639,16.7,2024,11,2025
2024-11-13,19:15:49,1.1876640419947506,16.8,2024,11,2025
2024-11-13,19:30:49,1.1876640419947506,16.8,2024,11,2025
2024-11-13,19:45:49,1.1876640419947506,16.8,2024,11,2025
2024-11-13,20:00:49,1.1745406824146982,16.8,2024,11,2025
2024-11-13,20:15:49,1.1778215223097113,16.8,2024,11,2025
2024-11-13,20:30:49,1.1811023622047243,16.8,2024,11,2025
2024-11-13,20:45:49,1.1876640419947506,16.8,2024,11,2025
2024-11-13,21:00:49,1.194225721784777,16.8,2024,11,2025
2024-11-13,21:15:49,1.194225721784777,16.8,2024,11,2025
2024-11-13,21:30:49,1.19750656167979,16.8,2024,11,2025
2024-11-13,21:45:49,1.194225721784777,16.8,2024,11,2025
2024-11-13,22:00:49,1.19750656167979,16.8,2024,11,2025
2024-11-13,22:15:49,1.19750656167979,16.8,2024,11,2025
2024-11-13,22:30:49,1.1843832020997376,16.7,2024,11,2025
2024-11-13,22:45:49,1.1843832020997376,16.7,2024,11,2025
2024-11-13,23:00:49,1.1843832020997376,16.7,2024,11,2025
2024-11-13,23:15:49,1.1778215223097113,16.7,2024,11,2025
2024-11-13,23:30:49,1.1778215223097113,16.7,2024,11,2025
2024-11-13,23:45:49,1.1811023622047243,16.7,2024,11,2025
2024-11-14,00:00:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,00:15:49,1.1778215223097113,16.7,2024,11,2025
2024-11-14,00:30:49,1.1778215223097113,16.7,2024,11,2025
2024-11-14,00:45:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,01:00:49,1.167979002624672,16.7,2024,11,2025
2024-11-14,01:15:49,1.167979002624672,16.7,2024,11,2025
2024-11-14,01:30:49,1.1646981627296589,16.7,2024,11,2025
2024-11-14,01:45:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,02:00:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,02:15:49,1.1811023622047243,16.7,2024,11,2025
2024-11-14,02:30:49,1.1843832020997376,16.7,2024,11,2025
2024-11-14,02:45:49,1.1843832020997376,16.7,2024,11,2025
2024-11-14,03:00:49,1.1778215223097113,16.7,2024,11,2025
2024-11-14,03:15:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,03:30:49,1.171259842519685,16.7,2024,11,2025
2024-11-14,03:45:49,1.1745406824146982,16.7,2024,11,2025
2024-11-14,04:00:49,1.171259842519685,16.6,2024,11,2025
2024-11-14,04:15:49,1.1778215223097113,16.6,2024,11,2025
2024-11-14,04:30:49,1.1811023622047243,16.6,2024,11,2025
2024-11-14,04:45:49,1.1843832020997376,16.6,2024,11,2025
2024-11-14,05:00:49,1.1745406824146982,16.5,2024,11,2025
2024-11-14,05:15:49,1.1778215223097113,16.5,2024,11,2025
2024-11-14,05:30:49,1.1843832020997376,16.5,2024,11,2025
2024-11-14,05:45:49,1.1843832020997376,16.4,2024,11,2025
2024-11-14,06:00:49,1.194225721784777,16.5,2024,11,2025
2024-11-14,06:15:49,1.194225721784777,16.5,2024,11,2025
